id;tower;_071_eqty_fta;_075_cash_a;_166_ebitda_int_exp;_167_eqty_gw_a;_168_b_loans_bonds_a;_172_eqty_gw_a_gw;_187_margin_yoy;_192_tpo_rev;_193_tro_rev;_209_ebtda_pv;_210_e_eqty;_211_e_a;_166_ebitda_int_exp_3;_027_st_l_ebitda_2;_161_rev_yoy_2;_187_margin_yoy_2;_187_margin_yoy_3;PD
10882;SK;6.039568;-1.417241;161.572539;0.832354;-0.899112;-1.731804;0.090421;-0.795916;11.693104;-0.542274;0.769755;0.397775;-2.534810;0.143869;0.243107357;0.190420725;-0.310380877;0.001127043
10884;SK;0.766258;0.564927;13.685162;0.230243;0.146379;0.526017;0.072477;-0.321249;39.041102;0.456722;0.033209;0.007646;0.460530;6.227234;0.029227934;0.027522506;-0.467553787;0.03368941
10885;SK;0.480201;0.664945;4.567452;0.153644;0.405730;0.813251;0.023176;0.292787;32.277304;0.688783;-0.368606;-0.056634;0.645205;19.711103;0.147538997;0.123175867;-0.399992378;0.050284436
10886;SK;0.456831;0.520549;12.780748;0.172270;0.077030;0.743407;0.077585;0.156918;22.777141;0.432993;0.076131;0.013115;0.478848;5.281237;0.056272712;0.022415089;-0.460747566;0.037916417
10887;SK;0.331568;0.598528;8.870545;0.131683;0.419663;0.895599;0.094517;0.085236;15.254133;0.541245;-0.053259;-0.007013;0.558048;7.412628;0.042628711;0.005482767;-0.438183301;0.045456195
10888;SK;0.500352;0.538643;24.814318;0.208557;0.845465;0.607336;0.394552;-0.253124;13.982508;0.154151;0.524922;0.109476;0.235114;2.882136;0.236819531;0.294551504;-0.038353155;0.035072449
10890;SK;0.579758;-0.215309;9.023382;0.059228;-0.943685;1.167293;0.161893;-0.223313;60.202542;0.513008;0.063403;0.003755;0.554952;2.684429;0.259640959;0.261893133;-0.21513568;0.028804794
10896;SK;0.991858;-0.030262;3.849953;0.289933;1.221161;0.302187;1.300297;-0.802349;64.891868;0.577519;0.020395;0.005913;0.659738;17.409978;0.281348917;1.200296611;1.168656288;0.040415715
10898;SK;3.100000;0.687083;4.900636;0.322435;0.464506;0.180310;0.103278;-0.584859;15.452436;0.588242;0.043558;0.014045;0.638457;8.319260;0.108338978;0.003277791;-0.426508851;0.036068227
10899;SK;26.206554;0.693034;6.531864;0.258264;0.115074;0.420943;0.212864;-0.047942;52.453705;0.604663;0.046213;0.011935;0.605417;9.637334;0.213969162;0.112864368;-0.280472144;0.04014377
10900;SK;6.486922;0.690218;5.886725;0.451218;0.885668;-0.302605;0.263203;-0.669137;28.779433;0.576201;0.065884;0.029728;0.618484;6.186585;0.023862652;0.363203269;-0.080128281;0.03424662
10901;SK;5.496202;0.589740;53.996437;0.716925;-0.391660;-1.298961;1.189447;-0.928770;5.668071;-1.376354;0.316006;0.226552;-0.355957;0.557007;0.21730681;1.089446832;1.020936219;0.009563744
10902;SK;5.058848;0.695756;14.234966;0.520971;0.017306;-0.564167;0.627499;-0.637927;125.267851;-0.246516;0.089231;0.046487;0.449394;4.290958;0.577950929;0.727498831;0.405337421;0.023556954
10903;SK;6.267839;0.570018;-26.990290;0.389375;-0.276809;-0.070703;1.052586;3.574750;261.565743;-0.551819;0.155466;0.060535;0.737717;33.870000;0.157459966;1.152585977;0.971814894;0.05632648
10904;SK;7.159660;0.487908;1.805116;0.376542;-0.215448;-0.022582;0.420939;1.281231;255.899620;0.251462;0.046851;0.017641;0.701155;74.743396;0.520572258;0.52093857;0.130072134;0.039539055
10905;SK;1.537337;-0.902314;38.820295;0.419554;-0.160059;-0.183869;1.151165;-0.500698;41.985854;0.272874;0.092958;0.039001;-0.048571;3.291977;0.499327955;1.051164814;0.969921031;0.013492826
